image,text,source
images/synthetic/synthetic_001.png,پاکستان زندہ باد,synthetic
images/synthetic/synthetic_002.png,آج کا موسم خوشگوار ہے,synthetic
images/synthetic/synthetic_003.png,تعلیم ہر انسان کا حق ہے,synthetic
images/synthetic/synthetic_004.png,کراچی پاکستان کا سب سے بڑا شہر ہے,synthetic
images/synthetic/synthetic_005.png,محنت کامیابی کی کنجی ہے,synthetic
images/synthetic/synthetic_006.png,پانی زندگی کے لیے ضروری ہے,synthetic
images/synthetic/synthetic_007.png,دوستی ایک انمول رشتہ ہے,synthetic
images/synthetic/synthetic_008.png,کتابیں علم کا خزانہ ہیں,synthetic
images/synthetic/synthetic_009.png,صحت ہزار نعمت ہے,synthetic
images/synthetic/synthetic_010.png,وقت کی قدر کرنی چاہیے,synthetic
images/synthetic/synthetic_011.png,محبت سب سے بڑی طاقت ہے,synthetic
images/synthetic/synthetic_012.png,سچائی ہمیشہ جیتتی ہے,synthetic
images/synthetic/synthetic_013.png,امن ہر انسان کی خواہش ہے,synthetic
images/synthetic/synthetic_014.png,خوشی بانٹنے سے بڑھتی ہے,synthetic
images/synthetic/synthetic_015.png,علم انسان کو روشنی دیتا ہے,synthetic
images/synthetic/synthetic_016.png,قدرت کا حسن بے مثال ہے,synthetic
images/synthetic/synthetic_017.png,اردو ایک شیریں زبان ہے,synthetic
images/synthetic/synthetic_018.png,بچے قوم کا مستقبل ہیں,synthetic
images/synthetic/synthetic_019.png,محنت سے ہر خواب پورا ہوتا ہے,synthetic
images/synthetic/synthetic_020.png,شکر گزاری خوشی کی کنجی ہے,synthetic
images/synthetic/synthetic_021.png,لاہور تاریخی شہر ہے,synthetic
images/synthetic/synthetic_022.png,کتاب دوست بہترین ساتھی ہے,synthetic
images/synthetic/synthetic_023.png,ہمت مرداں مدد خدا,synthetic
images/synthetic/synthetic_024.png,اچھے اخلاق سب سے بڑی دولت ہیں,synthetic
images/handwritten/handwritten_001.png, ہوٹل کا عملہ نہایت دوستانہ ہے عملہ نے,handwritten
images/handwritten/handwritten_002.png,میری بہت مدد کی میں یہاں ضرور واپس آؤں گا,handwritten
images/handwritten/handwritten_003.png,ہوٹل کی فضا خوشگوار ہے ہوٹل کا ماحول,handwritten
images/handwritten/handwritten_004.png,خوشگوار ہے ہوٹل کا عملہ دوستانہ ہے,handwritten
images/handwritten/handwritten_005.png,ہوٹل کا سٹاف اور عملہ نہایت اچھا اور دوستانہ,handwritten
images/handwritten/handwritten_006.png,ہے ہوٹل کے کمرے صاف اور کھانا مزے کا ہے,handwritten
images/handwritten/handwritten_007.png,ہوٹل کی کھڑکی نہیں کھلتی ہوٹل میں اچھے بیڈ,handwritten
images/handwritten/handwritten_008.png,نہیں ہوٹل کا رینٹ بہت زیادہ ہے,handwritten
